"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Ldonovani.gff","Lmajor.gff","NonEsmeraldo.gff","T.brucei.gff","T.evansi.gff","esmerldolike.gff","infantum.gff"
"group_868","","","6","6","1","1","6097","1","10893","","416","416","416","LdBPK_131320.1","LmjF.13.1580","","Tbg972.11.3720","TevSTIB805.11_01.3410","TcCLB.509591.10","LINF_130021300"
"group_1034","","","5","5","1","1","10302","1","7425","","1118","1295","1223","LdBPK_251060.1","LmjF.25.1020","TcCLB.511865.50","","","TcCLB.511871.40","LINF_250016200"
"group_1038","","","5","5","1","1","10319","1","7400","","581","1577","1373","LdBPK_251210.1","LmjF.25.1170","TcCLB.467287.30","","","TcCLB.509233.180","LINF_250017900"
"group_1043","","","5","5","1","1","10345","1","7370","","650","842","689","LdBPK_251460.1","LmjF.25.1420","TcCLB.503539.30","","","TcCLB.509455.80","LINF_250020400"
"group_1075","","","5","5","1","1","5411","1","8812","","1322","1340","1329","LdBPK_270930.1","LmjF.27.1060","TcCLB.506629.70","","","TcCLB.509831.10","LINF_270017000"
"group_1101","","","5","5","1","1","7972","1","2943","","605","758","666","LdBPK_281260.1","LmjF.28.1160","","Tbg972.11.8670","TevSTIB805.11_01.7880","","LINF_280017300"
"group_1180","","","5","5","1","1","10666","1","8297","","2048","2156","2111","LdBPK_321570.1","LmjF.32.1500","TcCLB.511717.170","","","TcCLB.506223.80","LINF_320020800"
"group_1196","","","5","5","1","1","630","1","8122","","839","839","839","LdBPK_323460.1","LmjF.32.3260","TcCLB.511025.50","","","TcCLB.511531.50","LINF_320040100"
"group_1197","","","5","5","1","1","637","1","8057","","911","1301","1136","LdBPK_323520.1","LmjF.32.3320","","Tbg972.11.18860","TevSTIB805.11_01.17300","","LINF_320040700"
"group_1238","","","5","5","1","1","4357","1","4145","","890","1271","1002","LdBPK_340900.1","LmjF.34.0850","","Tbg972.4.3560","TevSTIB805.4.3650","","LINF_340014300"
"group_1274","","","5","5","1","1","8831","1","9132","","1049","1208","1122","LdBPK_351720.1","LmjF.35.1730","","Tbg972.9.9070","TevSTIB805.9.10310","","LINF_350022200"
"group_1276","","","5","5","1","1","8795","1","9215","","617","617","617","LdBPK_352150.1","LmjF.35.2120","TcCLB.506999.150","","","TcCLB.510759.60","LINF_350026300"
"group_1289","","","5","5","1","1","5066","1","6494","","254","269","260","LdBPK_354150.1","LmjF.35.4090","","Tbg972.9.6380","TevSTIB805.9.7750","","LINF_350046600"
"group_1301","","","5","5","1","1","8428","1","3770","","1295","1370","1338","LdBPK_360780.1","LmjF.36.0720","","Tbg972.10.6210","TevSTIB805.10.5430","","LINF_360012800"
"group_1323","","","5","5","1","1","9632","1","1572","","1037","1061","1046","LdBPK_366530.1","LmjF.36.6270","TcCLB.506355.50","","","TcCLB.511043.30","LINF_360072700"
"group_1539","","","5","5","1","1","6717","1","6855","","1190","1196","1192","LdBPK_030520.1","LmjF.03.0540","TcCLB.510265.20","","","TcCLB.510311.70","LINF_030010200"
"group_1599","","","5","5","1","1","5231","1","5941","","569","572","570","LdBPK_040470.1","LmjF.04.0480","","Tbg972.9.4160","TevSTIB805.9.5510","","LINF_040009800"
"group_1642","","","5","5","1","1","1851","1","10371","","1910","1913","1911","LdBPK_050100.1","LmjF.05.0100","","Tbg972.5.5920","TevSTIB805.5.4930","","LINF_050005900"
"group_1823","","","5","5","1","1","9259","1","1205","","890","893","891","LdBPK_071030.1","LmjF.07.0900","TcCLB.509607.70","","","TcCLB.510861.140","LINF_070015200"
"group_1897","","","5","5","1","1","2184","1","9886","","299","305","301","LdBPK_081190.1","LmjF.08.1222","TcCLB.507777.20","","","TcCLB.510173.130","LINF_080017300"
"group_2061","","","5","5","1","1","201","1","201","","650","659","653","LdBPK_101250.1","LmjF.10.1160","TcCLB.509571.79","","","TcCLB.503689.4","LINF_100018900"
"group_2117","","","5","5","1","1","2728","1","10692","","1445","1460","1454","LdBPK_111050.1","LmjF.11.1050","TcCLB.506297.240","","","TcCLB.510101.70","LINF_110016500"
"group_2430","","","5","5","1","1","7095","1","6228","","380","380","380","LdBPK_151530.1","LmjF.15.1470","TcCLB.509943.30","","","TcCLB.508277.120","LINF_150022800"
"group_2672","","","5","5","1","1","10559","1","4430","","608","626","615","LdBPK_181180.1","LmjF.18.1170","TcCLB.503939.110","","","TcCLB.509805.90","LINF_180017200"
"group_2725","","","5","5","1","1","10916","1","8540","","1157","1172","1163","LdBPK_190730.1","LmjF.19.0730","","Tbg972.10.18840","TevSTIB805.10.16240","","LINF_190012200"
"group_3009","","","5","5","1","1","7536","1","5453","","1334","1337","1335","LdBPK_220490.1","LmjF.22.0620","","Tbg972.7.2860","TevSTIB805.7.2630","","LINF_220011600"
"group_3064","","","5","5","1","1","784","1","1085","","350","356","353","LdBPK_230420.1","LmjF.23.0370","","Tbg972.11.14640","TevSTIB805.11_01.13560","","LINF_230009100"
"group_3089","","","5","5","1","1","9138","1","9616","","1316","1325","1321","LdBPK_230860.1","LmjF.23.0690","","Tbg972.8.2020","TevSTIB805.8.2500","","LINF_230014600"
"group_3090","","","5","5","1","1","9130","1","9615","","341","344","342","LdBPK_230870.1","LmjF.23.0700","TcCLB.509463.20","","","TcCLB.510507.29","LINF_230014700"
"group_3317","","","5","5","1","1","10314","1","7407","","497","497","497","LdBPK_251170.1","LmjF.25.1130","TcCLB.503769.40","","","TcCLB.509233.150","LINF_250017400"
"group_3327","","","5","5","1","1","10333","1","7379","","953","1022","980","LdBPK_251360.1","LmjF.25.1320","TcCLB.511881.20","","","TcCLB.509453.50","LINF_250019400"
"group_3621","","","5","5","1","1","5613","1","8796","","467","473","470","LdBPK_271400.1","LmjF.27.1500","TcCLB.508355.127","","","TcCLB.503433.30","LINF_270021800"
"group_3953","","","5","5","1","1","6654","1","7137","","1337","1337","1337","LdBPK_292270.1","LmjF.29.2160","","Tbg972.3.5210","TevSTIB805.3.4960","","LINF_290029300"
"group_4126","","","5","5","1","1","7818","1","2743","","1076","1076","1076","LdBPK_303360.1","LmjF.30.3310","","Tbg972.6.4490","TevSTIB805.6.4830","","LINF_300038800"
"group_424","","","5","5","1","1","9271","1","1224","","3341","5624","4566","LdBPK_070770.1","LmjF.07.0690","TcCLB.508543.20","","","TcCLB.506401.110","LINF_070012500"
"group_4423","","","5","5","1","1","564","1","8171","","890","908","900","LdBPK_322760.1","LmjF.32.2620","TcCLB.506819.40","","","TcCLB.511545.130","LINF_320033100"
"group_4450","","","5","5","1","1","636","1","8061","","1430","1433","1431","LdBPK_323510.1","LmjF.32.3310","","Tbg972.11.18870","TevSTIB805.11_01.17310","","LINF_320040600"
"group_466","","","5","5","1","1","516","1","8242","","197","362","286","LdBPK_322120.1","LmjF.32.1990","TcCLB.503987.39","","","TcCLB.511713.9","LINF_320026000"
"group_4793","","","5","5","1","1","8240","1","2573","","1379","1379","1379","LdBPK_343280.1","LmjF.34.3500","","Tbg972.4.1100","TevSTIB805.4.1310","","LINF_340041900"
"group_4991","","","5","5","1","1","5037","1","6538","","677","680","678","LdBPK_353720.1","LmjF.35.3670","TcCLB.510667.110","","","TcCLB.507009.50","LINF_350042100"
"group_509","","","5","5","1","1","5266","1","5868","","1004","1481","1362","LdBPK_040940.1","LmjF.04.0940","","Tbg972.9.4590","TevSTIB805.9.6020","","LINF_040014400"
"group_510","","","5","5","1","1","1847","1","10362","","1901","2036","1995","LdBPK_050140.1","LmjF.05.0140","TcCLB.506123.40","","","TcCLB.508205.20","LINF_050006300"
"group_511","","","5","5","1","1","1539","2","150","","2411","3830","3263","LdBPK_060480.1","LmjF.06.0460","TcCLB.508175.260","","","TcCLB.509151.40","LINF_060010100"
"group_5111","","","5","5","1","1","11400","1","3284","","1484","1532","1512","LdBPK_361580.1","LmjF.36.1520","","Tbg972.10.7270","TevSTIB805.10.6300","","LINF_360021400"
"group_5116","","","5","5","1","1","11403","1","3287","","791","800","795","LdBPK_361670.1","LmjF.36.1600","","Tbg972.10.7380","TevSTIB805.10.6380","","LINF_360022300"
"group_514","","","5","5","1","1","9199","1","1171","","779","3740","3144","LdBPK_071210.1","LmjF.07.1050","TcCLB.509611.80","","","TcCLB.510857.60","LINF_070017000"
"group_523","","","5","5","1","1","1385","1","1050","","698","791","738","LdBPK_090830.1","LmjF.09.0780","TcCLB.503995.40","Tbg972.11.14330","","","LINF_090014000"
"group_533","","","5","5","1","1","1313","1","881","","494","503","498","LdBPK_120640.1","LmjF.12.0690","","Tbg972.1.2700","TevSTIB805.1.4050","","LINF_120012100"
"group_535","","","5","5","1","1","7149","1","6179","","473","569","529","LdBPK_150990.1","LmjF.15.0930","TcCLB.509353.60","Tbg972.9.3220","","","LINF_150017400"
"group_540","","","5","5","1","1","7114","1","6248","","3665","3710","3698","LdBPK_151310.1","LmjF.15.1290","","Tbg972.9.2960","","TcCLB.508277.370","LINF_150020700"
"group_541","","","5","5","1","1","1974","1","10449","","527","542","530","LdBPK_160240.1","LmjF.16.0230","TcCLB.503471.10","Tbg972.8.5790","","","LINF_160007400"
"group_5430","","","5","5","1","1","1802","1","10311","","1445","1454","1450","LdBPK_050980.1","LmjF.05.0980","TcCLB.508399.10","","","TcCLB.507869.10","LINF_050015200"
"group_557","","","5","5","1","1","6889","1","4641","","395","1553","1174","LdBPK_211820.1","LmjF.21.1552","TcCLB.508319.40","","","TcCLB.511139.40","LINF_210024300"
"group_563","","","5","5","1","1","9124","1","9590","","740","1046","978","LdBPK_230930.1","LmjF.23.0760","TcCLB.509461.60","","","TcCLB.510509.50","LINF_230015400"
"group_5734","","","5","5","1","1","10766","1","8427","","1844","1895","1864","LdBPK_320410.1","LmjF.32.0400","TcCLB.511285.120","","","TcCLB.506213.120","LINF_320009100"
"group_577","","","5","5","1","1","10290","1","8942","","533","590","544","LdBPK_250940.1","LmjF.25.0910","","Tbg.972.2.250","TevSTIB805.11_01.890","","LINF_250014900"
"group_578","","","5","5","1","1","10334","1","7378","","1589","2117","1905","LdBPK_251370.1","LmjF.25.1330","TcCLB.511881.30","","","TcCLB.509453.60","LINF_250019500"
"group_579","","","5","5","1","1","10349","1","7369","","1463","1505","1479","LdBPK_251470.1","LmjF.25.1430","TcCLB.503539.20","","","TcCLB.509455.90","LINF_250020500"
"group_590","","","5","5","1","1","3540","1","4827","","3410","6116","5036","LdBPK_260700.1","LmjF.26.0730","TcCLB.507515.100","","","TcCLB.508211.50","LINF_260012300"
"group_592","","","5","5","1","1","3359","1","5628","","600","2126","1473","LdBPK_262590.1","LmjF.26.2560","TcCLB.503925.3","","","TcCLB.510347.20","LINF_260031400"
"group_593","","","5","5","1","1","9940","1","7426","","785","1178","949","LdBPK_270160.1","LmjF.27.0160","TcCLB.507775.20","","","TcCLB.511867.20","LINF_270006500"
"group_596","","","5","5","1","1","5408","1","8815","","482","2000","1694","LdBPK_270920.1","LmjF.27.1050","TcCLB.506629.80","","","TcCLB.509831.5","LINF_270016900"
"group_600","","","5","5","1","1","11569","1","3147","","1250","1358","1314","LdBPK_283140.1","LmjF.28.2910","TcCLB.508111.30","","","TcCLB.507875.20","LINF_280037300"
"group_601","","","5","5","1","1","6462","1","7096","","755","950","895","LdBPK_291510.1","LmjF.29.1400","TcCLB.510001.10","","","TcCLB.507529.10","LINF_290020400"
"group_631","","","5","5","1","1","9027","1","9446","","2114","2204","2135","LdBPK_351210.1","LmjF.35.1200","TcCLB.503911.20","Tbg972.5.1620","","","LINF_350016800"
"group_637","","","5","5","1","1","11482","1","3429","","389","1886","1583","LdBPK_364030.1","LmjF.36.3840","TcCLB.511229.110","","","TcCLB.511589.260","LINF_360047300"
"group_644","","","5","5","1","1","10275","1","7756","","458","716","614","","LmjF.02.0390","TcCLB.508741.280","Tbg.972.2.1030","TevSTIB805.2.1380","TcCLB.503515.14",""
"group_653","","","5","5","1","1","4488","1","11224","","422","737","622","LdBPK_241860.1","LmjF.24.1790","TcCLB.511907.100","","","TcCLB.506797.120","LINF_240023900"
"group_722","","","5","5","1","1","7457","1","4904","","932","935","934","LdBPK_030140.1","LmjF.03.0150","TcCLB.511817.240","","","TcCLB.510529.10","LINF_030006300"
"group_747","","","5","5","1","1","1804","1","10319","","1418","1724","1601","LdBPK_050480.1","LmjF.05.0480","TcCLB.508397.70","","","TcCLB.509885.70","LINF_050009800"
"group_759","","","5","5","1","1","1792","1","10301","","737","794","759","LdBPK_051100.1","LmjF.05.1100","TcCLB.506789.120","","","TcCLB.508389.10","LINF_050016300"
"group_771","","","5","5","1","1","9311","1","1289","","341","359","350","LdBPK_070390.1","LmjF.07.0230","TcCLB.505071.119","","","TcCLB.511393.79","LINF_070007500"
"group_800","","","5","5","1","1","2190","1","9890","","587","596","590","LdBPK_081110.1","LmjF.08.1200","TcCLB.509721.40","","","TcCLB.510173.70","LINF_080016900"
"group_824","","","5","5","1","1","240","1","241","","626","653","636","LdBPK_100960.1","LmjF.10.0910","TcCLB.506151.30","","","TcCLB.511407.60","LINF_100015800"
"group_835","","","5","5","1","1","2717","1","10690","","1439","1445","1442","LdBPK_111100.1","LmjF.11.1100","TcCLB.506297.260","","","TcCLB.510101.50","LINF_110017200"
"group_848","","","5","5","1","1","1320","1","883","","1031","1061","1043","LdBPK_120620.1","LmjF.12.0670","","Tbg972.1.2660","TevSTIB805.1.4000","","LINF_120011900"
"group_864","","","5","5","1","1","6122","1","10937","","1697","1703","1699","LdBPK_130850.1","LmjF.13.0960","","Tbg972.11.4490","TevSTIB805.11_01.4000","","LINF_130014500"
"group_899","","","5","5","1","1","2151","1","10385","","2548","5528","4801","LdBPK_160590.1","LmjF.16.0590","TcCLB.511647.4","Tbg972.5.5270","","","LINF_160011200"
"group_910","","","5","5","1","1","2457","1","10071","","122","536","451","LdBPK_170330.1","LmjF.17.0280","TcCLB.511323.40","","","TcCLB.506513.200","LINF_170009100"
"group_927","","","5","5","1","1","2357","1","10170","","929","953","943","LdBPK_171370.1","LmjF.17.1270","TcCLB.509177.50","","","TcCLB.511303.70","LINF_170020000"
"group_929","","","5","5","1","1","11061","1","3538","","1133","1229","1190","LdBPK_180220.1","LmjF.18.0220","","Tbg972.10.16850","TevSTIB805.10.14420","","LINF_180007200"
"group_930","","","5","5","1","1","11107","1","2106","","2690","2693","2691","LdBPK_180510.1","LmjF.18.0510","","Tbg972.10.17200","TevSTIB805.10.14710","","LINF_180010100"
"group_966","","","5","5","1","1","7317","1","4782","","1391","1397","1394","LdBPK_210960.1","LmjF.21.0840","","Tbg972.10.1620","TevSTIB805.10.1530","","LINF_210014700"
"group_1000","","","4","4","1","1","393","1","1119","","1940","2042","2016","LdBPK_230790.1","LmjF.23.0620","","Tbg972.8.2090","","","LINF_230013800"
"group_1018","","","4","4","1","1","4543","1","11146","","917","941","935","LdBPK_241220.1","LmjF.24.1190","TcCLB.508641.200","","","","LINF_240017100"
"group_1030","","","4","4","1","1","8836","1","9125","","431","431","431","","LmjF.35.1670","","Tbg972.9.9030","TevSTIB805.9.10270","","LINF_350021700"
"group_1055","","","4","4","1","1","7418","1","4514","","101","1532","1156","LdBPK_260380.1","LmjF.26.0390","TcCLB.507517.130","","","","LINF_260008900"
"group_1066","","","4","4","1","1","3430","1","5703","","656","1148","1023","LdBPK_261760.1","LmjF.26.1755","","","TevSTIB805.9.2190","","LINF_260022900"
"group_1074","","","4","4","1","1","10002","1","8950","","1232","1235","1232","LdBPK_270790.1","LmjF.27.0930","","","TevSTIB805.11_01.1530","","LINF_270015600"
"group_1079","","","4","4","1","1","5423","1","8798","","652","1247","1098","LdBPK_271080.1","LmjF.27.1200","TcCLB.510223.9","","","","LINF_270018400"
"group_1128","","","4","4","1","1","6658","1","7099","","844","2102","1784","LdBPK_292310.1","LmjF.29.2200","","","","TcCLB.503671.39","LINF_290029700"
"group_1146","","","4","4","1","1","7743","1","5243","","1868","1949","1888","LdBPK_302590.1","LmjF.30.2600","TcCLB.511517.60","","","","LINF_300031100"
"group_1148","","","4","4","1","1","7842","1","2772","","584","1757","1463","LdBPK_302920.1","LmjF.30.2900","TcCLB.511523.100","","","","LINF_300034400"
"group_1152","","","4","4","1","1","3024","1","2885","","434","584","471","LdBPK_303650.1","LmjF.30.3590","TcCLB.508823.50","","","","LINF_300041700"
"group_1176","","","4","4","1","1","10705","1","8333","","563","566","565","LdBPK_321140.1","LmjF.32.1080","TcCLB.511725.170","","","","LINF_320016500"
"group_1179","","","4","4","1","1","10674","1","8300","","437","443","441","LdBPK_321500.1","LmjF.32.1440","","","","TcCLB.504051.49","LINF_320020100"
"group_1191","","","4","4","1","1","572","1","8164","","752","2519","2003","LdBPK_322810.1","LmjF.32.2670","TcCLB.506817.79","","","","LINF_320033700"
"group_1192","","","4","4","1","1","589","1","8163","","401","404","403","LdBPK_322830.1","LmjF.32.2690","TcCLB.506817.30","","","","LINF_320033900"
"group_1204","","","4","4","1","1","5882","1","4364","","458","461","458","LdBPK_330710.1","LmjF.33.0660","","Tbg972.10.13710","","","LINF_330013500"
"group_1213","","","4","4","1","1","5973","1","4299","","911","992","971","LdBPK_331340.1","LmjF.33.1270","","","","TcCLB.506567.100","LINF_330020400"
"group_1215","","","4","4","1","1","5741","1","7627","","998","1862","1481","LdBPK_332230.1","LmjF.33.2110","","","","TcCLB.503887.70","LINF_330030000"
"group_1273","","","4","4","1","1","8843","1","9217","","1055","1217","1117","LdBPK_351570.1","LmjF.35.1570","","","","TcCLB.510759.150","LINF_350020700"
"group_1278","","","4","4","1","1","4954","1","9212","","1265","1397","1364","LdBPK_352330.1","LmjF.35.2280","TcCLB.510655.40","","","","LINF_350028100"
"group_1321","","","4","4","1","1","9682","1","1515","","266","266","266","LdBPK_365970.1","LmjF.36.5720","TcCLB.509795.89","","","","LINF_360067000"
"group_1337","","","4","4","1","1","4370","1","4131","","2471","3905","3173","","LmjF.31.1400","","Tbg972.4.4700","TevSTIB805.4.4730","","LINF_310020800"
"group_1345","","","4","4","1","1","7351","1","4808","","377","3662","2058","","","TcCLB.509691.10","Tbg972.10.1740","TevSTIB805.10.1600","TcCLB.504133.45",""
"group_1524","","","4","4","1","1","6782","1","6824","","218","251","242","LdBPK_030240.1","LmjF.03.0250","","","","TcCLB.509351.4","LINF_030007300"
"group_1589","","","4","4","1","1","5196","1","5776","","1334","1346","1342","LdBPK_040280.1","LmjF.04.0290","TcCLB.506627.20","","","","LINF_040008000"
"group_1789","","","4","4","1","1","9325","1","8995","","572","578","575","LdBPK_070220.1","","","Tbg972.8.1510","TevSTIB805.8.1810","","LINF_070005700"
"group_1972","","","4","4","1","1","871","1","437","","458","458","458","LdBPK_091190.1","LmjF.09.1130","","","","TcCLB.506755.250","LINF_090018600"
"group_2004","","","4","4","1","1","318","1","9673","","1220","1223","1222","LdBPK_100200.1","LmjF.10.0200","","","","TcCLB.511573.40","LINF_100007100"
"group_2076","","","4","4","1","1","2829","1","10592","","758","761","760","LdBPK_110350.1","LmjF.11.0350","","","","TcCLB.506775.80","LINF_110008400"
"group_2120","","","4","4","1","1","2702","1","10682","","548","551","550","LdBPK_111200.1","LmjF.11.1210","","","","TcCLB.508041.10","LINF_110018100"
"group_2128","","","4","4","1","1","1375","1","927","","1211","1235","1229","LdBPK_120190.1","LmjF.12.0210","TcCLB.509429.270","","","","LINF_120007200"
"group_2227","","","4","4","1","1","6109","1","10922","","1313","1316","1315","LdBPK_130990.1","LmjF.13.1090","","Tbg972.11.4280","","","LINF_130015900"
"group_2790","","","4","4","1","1","1169","1","729","","434","434","434","LdBPK_200600.1","","","Tbg972.1.550","TevSTIB805.1.1150","","LINF_200010700"
"group_2793","","","4","4","1","1","1118","1","726","","1427","1802","1703","LdBPK_200630.1","LmjF.20.0560","","","","TcCLB.508993.10","LINF_200011000"
"group_2917","","","4","4","1","1","6942","1","4726","","905","905","905","LdBPK_211320.1","LmjF.21.1080","TcCLB.509695.190","","","","LINF_210018400"
"group_2918","","","4","4","1","1","6941","1","4720","","1613","1655","1644","LdBPK_211330.1","LmjF.21.1090","TcCLB.509695.200","","","","LINF_210018500"
"group_3041","","","4","4","1","1","7640","1","5385","","335","338","335","LdBPK_221280.1","LmjF.22.1430","","Tbg972.7.3750","","","LINF_220020400"
"group_3108","","","4","4","1","1","9116","1","9558","","734","1655","1424","LdBPK_231460.1","LmjF.23.1220","","","","TcCLB.510517.10","LINF_230021100"
"group_3234","","","4","4","1","1","4481","1","11231","","707","722","718","LdBPK_241900.1","LmjF.24.1830","","","","TcCLB.506797.80","LINF_240024300"
"group_3374","","","4","4","1","1","6561","1","7294","","470","470","470","LdBPK_252170.1","LmjF.25.2090","","","","TcCLB.504077.30","LINF_250027800"
"group_3577","","","4","4","1","1","9987","1","8966","","602","626","608","LdBPK_270620.1","LmjF.27.0760","","Tbg972.8.510","","","LINF_270013800"
"group_3633","","","4","4","1","1","5594","1","8753","","1358","1361","1359","LdBPK_271610.1","","","Tbg972.11.2550","TevSTIB805.11_01.2350","","LINF_270024100"
"group_3701","","","4","4","1","1","7927","1","2814","","206","341","239","LdBPK_280680.1","LmjF.28.0640","TcCLB.508815.150","","","","LINF_280011500"
"group_3762","","","4","4","1","1","8028","1","3000","","2558","2603","2591","LdBPK_281900.1","LmjF.28.1780","TcCLB.510901.100","","","","LINF_280024100"
"group_3789","","","4","4","1","1","11610","1","3101","","173","173","173","LdBPK_282650.1","LmjF.28.2460","","","","TcCLB.506025.14","LINF_280031800"
"group_3799","","","4","4","1","1","8074","1","3066","","725","734","731","LdBPK_282520.1","LmjF.28.2360","","","","TcCLB.509205.70","LINF_280030500"
"group_3858","","","4","4","1","1","6445","1","6994","","689","1094","992","LdBPK_290500.1","LmjF.29.0490","TcCLB.415803.10","","","","LINF_290009900"
"group_3941","","","4","4","1","1","6635","1","7209","","1697","1706","1703","LdBPK_292080.1","LmjF.29.1960","","","TevSTIB805.3.4750","","LINF_290027200"
"group_404","","","4","4","1","1","9025","1","9444","","1457","3443","2946","LdBPK_351190.1","LmjF.35.1180","TcCLB.503849.80","","","","LINF_350016600"
"group_4103","","","4","4","1","1","7850","1","2777","","674","677","676","LdBPK_302980.1","LmjF.30.2960","","","","TcCLB.506943.40","LINF_300034900"
"group_4437","","","4","4","1","1","614","1","8140","","911","926","922","LdBPK_323230.1","LmjF.32.3040","","","TevSTIB805.11_01.17550","","LINF_320037900"
